fname,label,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
algo.wav,Experimental,0.23504075407981873,0.06466737389564514,0.0032197122927755117,0.5941089391708374,0.0007030389388091862,0.008262190967798233,0.08910634368658066,0.0048912158235907555,Hip-Hop
badguys.wav,Pop,0.14965884387493134,0.3687114417552948,0.0317719392478466,0.36810028553009033,0.009404195472598076,0.03415234386920929,0.03247737139463425,0.005723663605749607,Experimental
believer.wav,Experimental,0.027291739359498024,0.7978406548500061,0.010844090022146702,0.06412111222743988,0.05738965794444084,0.016721012070775032,0.014722660183906555,0.011069144122302532,Experimental
chopinmajs.wav,Experimental,0.4608182907104492,0.3441089391708374,0.12105336040258408,0.033453527837991714,0.0007091123843565583,0.023181892931461334,0.013631297275424004,0.003043459728360176,Electronic
chopins.wav,Instrumental,0.1863502860069275,0.2618090510368347,0.3044913709163666,0.038821060210466385,0.002928546629846096,0.1146613135933876,0.05307900160551071,0.03785940259695053,Folk
disturbed.wav,Experimental,0.19181634485721588,0.48447054624557495,0.0006802662392146885,0.26655152440071106,2.822956594172865e-05,0.015232724137604237,0.039486974477767944,0.0017334729200229049,Experimental
dove.wav,Experimental,0.02710576541721821,0.6955893039703369,0.057404495775699615,0.08762576431035995,0.0018558533629402518,0.024140702560544014,0.07556536793708801,0.030712665989995003,Experimental
experiences.wav,International,0.13024045526981354,0.05366567149758339,0.30805444717407227,0.07438228279352188,0.04202234372496605,0.03771379590034485,0.25359785556793213,0.10032320022583008,Folk
gomez.wav,Experimental,0.02991955168545246,0.8444236516952515,0.022709108889102936,0.050653401762247086,0.000735873356461525,0.018843062222003937,0.02850535325706005,0.004210205283015966,Experimental
helas.wav,Folk,0.0071886139921844006,0.8498249053955078,0.04209611564874649,0.03663385659456253,0.018450453877449036,0.01185516081750393,0.028787042945623398,0.005163739901036024,Experimental
iawfyls.wav,Experimental,0.002292501274496317,0.9958243370056152,1.3671851206709107e-07,0.00018742123211268336,1.187606003122399e-12,9.266097436011478e-07,0.001635335967876017,5.940935079706833e-05,Experimental
kazak.wav,Experimental,0.13713841140270233,0.2057567536830902,0.23967744410037994,0.07122400403022766,0.008530712686479092,0.15046435594558716,0.16489075124263763,0.022317558526992798,Folk
luna.wav,Experimental,0.005803701467812061,0.8070417642593384,0.019718680530786514,0.08333320915699005,0.0006154954899102449,0.02700873464345932,0.054112061858177185,0.002366430126130581,Experimental
megamixs.wav,Rock,0.010835843160748482,0.6831275820732117,0.0682569369673729,0.07700789719820023,0.024951642379164696,0.0510513111948967,0.021944446489214897,0.06282410770654678,Experimental
melnisa.wav,Experimental,0.005196233745664358,0.3571603000164032,0.2411811798810959,0.08028937131166458,0.023417511954903603,0.11387874186038971,0.15830358862876892,0.020572910085320473,Experimental
nelubov.wav,Experimental,0.010660585016012192,0.8273209929466248,0.046736035495996475,0.03687378764152527,0.0021680830977857113,0.03487226739525795,0.03697945177555084,0.0043890648521482944,Experimental
ntr.wav,Experimental,0.0282343327999115,0.777271032333374,0.01676243729889393,0.07382844388484955,0.005915835965424776,0.03882504254579544,0.040143851190805435,0.019018959254026413,Experimental
oxys.wav,Hip-Hop,0.0743156298995018,0.6275601983070374,0.04308219626545906,0.08287914842367172,0.0018724410329014063,0.036481164395809174,0.08080615103244781,0.05300297960639,Experimental
prodigys.wav,Electronic,0.024593215435743332,0.558806836605072,0.07357142120599747,0.1208198070526123,0.0009415980312041938,0.03429044783115387,0.10905377566814423,0.07792285829782486,Experimental
radioprots.wav,Instrumental,0.17568933963775635,0.16283099353313446,0.3123018145561218,0.06823888421058655,0.03319282457232475,0.18101629614830017,0.035197723656892776,0.03153194487094879,Folk
ramm.wav,Experimental,0.10844408720731735,0.5672999620437622,0.00960793811827898,0.061235249042510986,0.004483812488615513,0.043370939791202545,0.17655833065509796,0.028999710455536842,Experimental
sioux.wav,Experimental,0.5750272870063782,0.08280014246702194,0.2327546328306198,0.005263934377580881,0.0017417391063645482,0.016783323138952255,0.06297987699508667,0.018326308578252792,Electronic
sorry.wav,Experimental,0.10150519758462906,0.4816698431968689,0.058715373277664185,0.08638696372509003,0.04725521802902222,0.06657516211271286,0.06087036803364754,0.09702201187610626,Experimental
venoms.wav,Hip-Hop,0.03095490299165249,0.7583272457122803,0.004760644864290953,0.1341983675956726,2.5089248083531857e-05,0.014403296634554863,0.04375045374035835,0.013580091297626495,Experimental
whatevers.wav,Rock,0.02553810365498066,0.8154036402702332,0.032338906079530716,0.054625317454338074,0.005018030758947134,0.015526825562119484,0.04080703854560852,0.010741965845227242,Experimental
zemla.wav,Experimental,0.004923316650092602,0.9372471570968628,0.000289075804175809,0.008759541437029839,1.7196107648942416e-08,0.0006370318005792797,0.032853543758392334,0.015290415845811367,Experimental
