fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
Christopher Tin_Baba Yetu.wav,0.011848922818899155,0.10790286213159561,0.15832160413265228,0.1299620121717453,0.03261023759841919,0.16799798607826233,0.2170131802558899,0.17434312403202057,Pop
Clean Bandit_Rather Be (feat. Jess Glynne).wav,0.11883609741926193,0.11755788326263428,0.061477795243263245,0.24641922116279602,0.007614376489073038,0.13567182421684265,0.1251666247844696,0.1872560679912567,Hip-Hop
Clipse_Mr. Me Too.wav,0.07187172770500183,0.07662251591682434,0.129333034157753,0.41537415981292725,0.002855446422472596,0.07043449580669403,0.13532187044620514,0.09818654507398605,Hip-Hop
Crystal Castles_Crimewave.wav,0.24712741374969482,0.155525341629982,0.061017245054244995,0.30277904868125916,0.0005080498522147536,0.06605260819196701,0.1297615021467209,0.03722892701625824,Hip-Hop
Cypress Hill_Insane in the Brain.wav,0.14953230321407318,0.06716801226139069,0.014547963626682758,0.2905951142311096,0.05438695475459099,0.12386555224657059,0.1669732630252838,0.13293081521987915,Hip-Hop
Ed Sheeran_Shape of You.wav,0.12358904629945755,0.1995750218629837,0.09930747002363205,0.30533626675605774,0.03193914145231247,0.046811543405056,0.131387397646904,0.06205413490533829,Hip-Hop
Ed Sheeran_Thinking out Loud.wav,0.040835823863744736,0.11135271936655045,0.17293080687522888,0.26747551560401917,0.004577180836349726,0.09217944741249084,0.17489732801914215,0.1357511729001999,Hip-Hop
"Edvard Grieg_Peer Gynt-Suite Nr. 1, Op. 46  III. Anitra's Dance.wav",0.014363301917910576,0.08404973149299622,0.33843812346458435,0.06956781446933746,0.07024562358856201,0.28407010436058044,0.11671554297208786,0.02254982851445675,Folk
Eivør_Trøllabundin.wav,0.05027798190712929,0.07566999644041061,0.12440820038318634,0.16091841459274292,0.009312247857451439,0.22222545742988586,0.1260717213153839,0.23111620545387268,Rock
Eivør_Verd Mín.wav,0.07499067485332489,0.10377229750156403,0.13308826088905334,0.2706049978733063,0.023163307458162308,0.18516865372657776,0.11166124045848846,0.09755069762468338,Hip-Hop
Erik Satie_Gnossienne  No. 1.wav,0.2188558727502823,0.10319064557552338,0.36166420578956604,0.030419904738664627,0.005327741615474224,0.030468931421637535,0.19921331107616425,0.05085936561226845,Folk
Erik Satie_Gnossienne No. 1.wav,0.2115742266178131,0.1131884753704071,0.4327709376811981,0.015361734665930271,0.004467362072318792,0.01000149454921484,0.1979767233133316,0.014658821746706963,Folk
Estudios Talkback_Mali Baile Tribal.wav,0.006861760746687651,0.09614919126033783,0.2655239999294281,0.11449268460273743,0.021255439147353172,0.2520136535167694,0.17249532043933868,0.07120795547962189,Folk
Estudios Talkback_Zambia Varios Ritmos Tribales (Several Tribal Rhythms).wav,0.03040630742907524,0.3376588821411133,0.10243713110685349,0.24605226516723633,0.015051262453198433,0.14635184407234192,0.08694324642419815,0.03509921208024025,Experimental
Flo Rida_Whistle.wav,0.10989437252283096,0.05062229931354523,0.09326477348804474,0.3285612463951111,0.010175022296607494,0.11848630011081696,0.1769549697637558,0.11204105615615845,Hip-Hop
Foster The People_Pumped Up Kicks.wav,0.02020190842449665,0.11429256945848465,0.16296382248401642,0.1856907606124878,0.0015168589306995273,0.040094196796417236,0.145658478140831,0.3295811116695404,Rock
