fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred
the cure_Boys Don't Cry - Single Version.wav,0.04681778326630592,0.06479322165250778,0.03743552044034004,0.2547726631164551,0.020973438397049904,0.20864321291446686,0.16894519329071045,0.19761896133422852,Hip-Hop
the cure_Close to Me - Remastered.wav,0.2835247218608856,0.09246871620416641,0.07424014806747437,0.30053746700286865,0.009464629925787449,0.09883832931518555,0.1008506715297699,0.040075380355119705,Hip-Hop
the cure_Friday I'm in Love.wav,0.10375303030014038,0.04527272656559944,0.052805814892053604,0.17785687744617462,0.029245415702462196,0.1164599284529686,0.20667019486427307,0.267936110496521,Rock
the cure_Just Like Heaven.wav,0.06335575878620148,0.08878355473279953,0.14343662559986115,0.12885619699954987,0.00294778635725379,0.0601012259721756,0.21573679149150848,0.29678213596343994,Rock
the cure_Lovesong.wav,0.02634417824447155,0.10071583837270737,0.12328111380338669,0.1423870027065277,0.018714729696512222,0.09041896462440491,0.10015008598566055,0.3979882597923279,Rock
