fname,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock,y_pred,preview_url,picture
Calvin Harris_Summer.wav,0.42199507399999997,0.11116859300000001,0.012899018,0.086070165,0.000248627,0.037248652,0.065628856,0.26474127199999997,Electronic,https://p.scdn.co/mp3-preview/7747e4abf05e790168b4aeb87de9c008095677a9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273063c048e9ef6bd021b744756
Christopher Tin_Baba Yetu.wav,0.011848923,0.10790286199999999,0.158321604,0.129962012,0.032610238,0.16799798600000002,0.21701318,0.174343124,Pop,https://p.scdn.co/mp3-preview/e379fefba6b5555c417031750da415e8f8727ce3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ca235c32054cec8479ca9b2e
Clean Bandit_Rather Be (feat. Jess Glynne).wav,0.11883609699999999,0.117557883,0.061477795,0.24641922100000002,0.007614376,0.135671824,0.125166625,0.187256068,Hip-Hop,https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2735ef315d54fd701725176292e
Clipse_Mr. Me Too.wav,0.071871728,0.076622516,0.129333034,0.41537416,0.0028554459999999998,0.070434496,0.13532187,0.098186545,Hip-Hop,https://p.scdn.co/mp3-preview/d53d790abc21a105903c0a1aac79a30aea51c440?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2731533f5dd895bb03556473485
Crystal Castles_Crimewave.wav,0.247127414,0.15552534199999998,0.061017245,0.30277904899999997,0.00050805,0.066052608,0.129761502,0.037228927,Hip-Hop,https://p.scdn.co/mp3-preview/44672c7e5af267b8a565a2394eca9e77a094f48e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b2735885a208aad0fbf70736bfab
Cypress Hill_Insane in the Brain.wav,0.149532303,0.067168012,0.014547963999999998,0.290595114,0.054386955,0.12386555199999999,0.166973263,0.132930815,Hip-Hop,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ff2dc734e252aa62bd49ec42
Ed Sheeran_Shape of You.wav,0.123589046,0.199575022,0.09930747,0.305336267,0.031939141000000004,0.046811543,0.13138739800000002,0.062054135,Hip-Hop,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Ed Sheeran_Thinking out Loud.wav,0.040835824,0.111352719,0.172930807,0.267475516,0.004577181,0.092179447,0.17489732800000002,0.135751173,Hip-Hop,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd
"Edvard Grieg_Peer Gynt-Suite Nr. 1, Op. 46  III. Anitra's Dance.wav",0.014363302,0.084049731,0.338438123,0.069567814,0.070245624,0.284070104,0.116715543,0.022549829,Folk,https://p.scdn.co/mp3-preview/d1768c7e52cbb1ade8c6547ea90cb93e4dcc49a6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273a2baeed584e7d6ea0bf136b3
Eivør_Trøllabundin.wav,0.050277982,0.07566999599999999,0.12440819999999998,0.160918415,0.009312248,0.222225457,0.126071721,0.231116205,Rock,https://p.scdn.co/mp3-preview/dceb3df51f1e805546c008deb5cb07add19bd806?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d1bf711267281458ad505059
