Busta Rhymes_Break Ya Neck.wav,0.121560633,0.123152465,0.055120073,0.384615988,0.014746434,0.102422506,0.130366191,0.068015747,Hip-Hop,https://p.scdn.co/mp3-preview/800554e3fb6c92da9e142f681fb65f7dd46a855a?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273c464fabb4e51b72d657f779a
Calvin Harris_Summer.wav,0.421995074,0.111168593,0.012899018,0.086070165,0.000248627,0.037248652,0.065628856,0.264741272,Electronic,https://p.scdn.co/mp3-preview/7747e4abf05e790168b4aeb87de9c008095677a9?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Christopher Tin_Baba Yetu.wav,0.011848923,0.107902862,0.158321604,0.129962012,0.032610238,0.167997986,0.21701318,0.174343124,Pop,https://p.scdn.co/mp3-preview/e379fefba6b5555c417031750da415e8f8727ce3?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Clean Bandit_Rather Be (feat. Jess Glynne).wav,0.118836097,0.117557883,0.061477795,0.246419221,0.007614376,0.135671824,0.125166625,0.187256068,Hip-Hop,https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Clipse_Mr. Me Too.wav,0.071871728,0.076622516,0.129333034,0.41537416,0.002855446,0.070434496,0.13532187,0.098186545,Hip-Hop,https://p.scdn.co/mp3-preview/d53d790abc21a105903c0a1aac79a30aea51c440?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Crystal Castles_Crimewave.wav,0.247127414,0.155525342,0.061017245,0.302779049,0.00050805,0.066052608,0.129761502,0.037228927,Hip-Hop,https://p.scdn.co/mp3-preview/44672c7e5af267b8a565a2394eca9e77a094f48e?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Cypress Hill_Insane in the Brain.wav,0.149532303,0.067168012,0.014547964,0.290595114,0.054386955,0.123865552,0.166973263,0.132930815,Hip-Hop,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273d076580e3239c5b57c48dee9
Ed Sheeran_Shape of You.wav,0.123589046,0.199575022,0.09930747,0.305336267,0.031939141,0.046811543,0.131387398,0.062054135,Hip-Hop,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Ed Sheeran_Thinking out Loud.wav,0.040835824,0.111352719,0.172930807,0.267475516,0.004577181,0.092179447,0.174897328,0.135751173,Hip-Hop,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
"Edvard Grieg_Peer Gynt-Suite Nr. 1, Op. 46  III. Anitra's Dance.wav",0.014363302,0.084049731,0.338438123,0.069567814,0.070245624,0.284070104,0.116715543,0.022549829,Folk,https://p.scdn.co/mp3-preview/d1768c7e52cbb1ade8c6547ea90cb93e4dcc49a6?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Eivor_Trollabundin.wav,0.050277982,0.075669996,0.1244082,0.160918415,0.009312248,0.222225457,0.126071721,0.231116205,Rock,https://p.scdn.co/mp3-preview/dceb3df51f1e805546c008deb5cb07add19bd806?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Eivor_Verd Min.wav,0.074990675,0.103772298,0.133088261,0.270604998,0.023163307,0.185168654,0.11166124,0.097550698,Hip-Hop,https://p.scdn.co/mp3-preview/21f8ded1e9f5e0e710afd62f58306ebf08b03874?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Erik Satie_Gnossienne No. 1.wav,0.211574227,0.113188475,0.432770938,0.015361735,0.004467362,0.010001495,0.197976723,0.014658822,Folk,https://p.scdn.co/mp3-preview/cd3646bc8b8aaec0c21a4c8ad91ac2dc5184759c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Estudios Talkback_Mali Baile Tribal.wav,0.006861761,0.096149191,0.265524,0.114492685,0.021255439,0.252013654,0.17249532,0.071207955,Folk,https://p.scdn.co/mp3-preview/cd3646bc8b8aaec0c21a4c8ad91ac2dc5184759c?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
Estudios Talkback_Zambia Varios Ritmos Tribales (Several Tribal Rhythms).wav,0.030406307,0.337658882,0.102437131,0.246052265,0.015051262,0.146351844,0.086943246,0.035099212,Experimental,https://p.scdn.co/mp3-preview/6aa672f557dfb8eccdbed0d97aa5b3e81eb847a7?cid=774b29d4f13844c495f206cafdad9c86,https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249
